"Data Source","World Development Indicators",

"Last Updated Date","2021-09-15",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020",
"Aruba","ABW","Agricultural raw materials exports (% of merchandise exports)","TX.VAL.AGRI.ZS.UN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.737146652043083","0.548675385509795","0.992986355983729","1.17199554693061","1.24859402104803","0.316903457650212","1.09595387244533","1.0067691119076","0.243534904800934","0.0259644631172098","0.158576852711918","0.0978675734500493","0.0317293049002104","0.0469190534859446","0.0553580946090437","0.0926213791920241","0.0851876197416947","0.0792607965570291","0.0759474216156399","0.0978929664504488","",
"Aruba","ABW","Agricultural raw materials imports (% of merchandise imports)","TM.VAL.AGRI.ZS.UN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.94462764979241","2.51389151684008","2.516781671669","2.67728416685506","2.77368828590492","0.37877041439368","2.82170580925841","2.64537737304436","2.54062849847473","0.655209722936277","0.830182228273046","0.8275024005237","0.256387543478741","0.303686860279454","0.398227878810062","0.496427303464352","0.335550120598185","0.297863191977906","0.310804561151118","0.349028440756097","",
"Aruba","ABW","Rural population (% of total population)","SP.RUR.TOTL.ZS","49.224","49.239","49.254","49.27","49.285","49.3","49.315","49.33","49.346","49.361","49.376","49.391","49.407","49.422","49.437","49.452","49.468","49.483","49.498","49.513","49.528","49.544","49.559","49.574","49.589","49.605","49.62","49.635","49.65","49.665","49.681","49.696","50.002","50.412","50.823","51.233","51.644","52.054","52.464","52.873","53.283","53.661","54.028","54.394","54.76","55.125","55.489","55.853","56.217","56.579","56.941","57.06","57.043","57.01","56.959","56.892","56.808","56.707","56.589","56.454","56.303",
"Aruba","ABW","Rural population growth (annual %)","SP.RUR.TOTL.ZG","","2.26768767295149","1.4620568845254","0.859207557821673","0.610247597996929","0.603009772733883","0.631028128165433","0.620086416464489","0.605851435344078","0.640151669632926","0.598371743080467","0.659549592938422","0.716119064362811","0.674084116329914","0.512624043183279","0.236994619997045","-0.0767114187539106","-0.334213739789227","-0.409259209274085","-0.185051278351207","0.238820140754945","0.799749950203642","1.31119023047861","1.44023651787906","1.01297724052188","0.346054368221479","-0.574207233140432","-1.26586017820832","-1.21610939055228","-0.0329847943090171","1.85002825034353","3.92792544900209","6.05898198078059","6.86587105648408","6.45795644588025","5.41212230739491","4.32994828855184","3.44676384416543","2.9047915317652","2.73783160737096","2.83644562722567","2.91279764493556","2.91611960941192","2.78422872496805","2.43546943989521","1.95589137975976","1.45830291622837","1.045454369474","0.783999928377262","0.730874704010687","0.846565902454824","0.58733020479266","0.472862723200836","0.525060872146678","0.502019303377453","0.423733024213462","0.354821994520845","0.293331532245364","0.250744004865576","0.198477294480101","0.159829549208162",
"Aruba","ABW","Rural population","SP.RUR.TOTL","26683","27295","27697","27936","28107","28277","28456","28633","28807","28992","29166","29359","29570","29770","29923","29994","29971","29871","29749","29694","29765","30004","30400","30841","31155","31263","31084","30693","30322","30312","30878","32115","34121","36546","38984","41152","42973","44480","45791","47062","48416","49847","51322","52771","54072","55140","55950","56538","56983","57401","57889","58230","58506","58814","59110","59361","59572","59747","59897","60016","60112",
"Aruba","ABW","Employment in agriculture (% of total employment) (modeled ILO estimate)","SL.AGR.EMPL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Aruba","ABW","Employment in agriculture, male (% of male employment) (modeled ILO estimate)","SL.AGR.EMPL.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Aruba","ABW","Employment in agriculture, female (% of female employment) (modeled ILO estimate)","SL.AGR.EMPL.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Aruba","ABW","Agriculture, forestry, and fishing, value added (% of GDP)","NV.AGR.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.505997080786072","0.485804390862019","0.429949893880052","0.407981130872697","0.383292096465087","0.410021828071138","0.405149839976724","0.402215827338129","0.401381978993919","0.391652043118576","0.386673058485139","0.393755760368664","0.405233924375134","0.380728530728531","0.440397943214845","","","","","","","","","","","",
"Aruba","ABW","Agriculture, forestry, and fishing, value added (current US$)","NV.AGR.TOTL.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6681564.24581006","6703910.61452514","6586592.17877095","6793296.08938548","6603351.95530726","7681564.24581006","7779329.60893855","7808379.88826816","8112849.16201117","8727932.96089385","9012290.5027933","9546927.37430168","10597206.7039106","10451955.3072626","11005027.9329609","","","","","","","","","","","",
"Aruba","ABW","Annual freshwater withdrawals, agriculture (% of total freshwater withdrawal)","ER.H2O.FWAG.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Aruba","ABW","Rural population living in areas where elevation is below 5 meters (% of total population)","EN.POP.EL5M.RU.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.352463942","","","","","","","","","","2.352463825","","","","","","","","","","2.351122785","","","","","","","","","","",
"Aruba","ABW","Agricultural nitrous oxide emissions (% of total)","EN.ATM.NOXE.AG.ZS","","","","","","","","","","","38.6768540271874","38.4068734749838","38.1812162977377","38.453768559524","38.4302517575366","38.4891968091956","26.7635916306887","25.5512883186342","13.3253678297315","11.6900860857792","11.3430248039349","9.90514818122231","9.13746066337608","9.62415967547847","8.9403125148496","8.01542409082439","10.7381834721823","7.88637025329618","6.5492189723632","6.02934056837559","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
