"Country Name","Country Code","Year","average_value_Access to electricity, rural (% of rural population)","average_value_Agricultural irrigated land (% of total agricultural land)","average_value_Agricultural land (% of land area)","average_value_Agricultural land (sq. km)","average_value_Agricultural machinery, tractors","average_value_Agricultural machinery, tractors per 100 sq. km of arable land","average_value_Agricultural methane emissions (% of total)","average_value_Agricultural methane emissions (thousand metric tons of CO2 equivalent)","average_value_Agricultural nitrous oxide emissions (% of total)","average_value_Agricultural nitrous oxide emissions (thousand metric tons of CO2 equivalent)","average_value_Agricultural raw materials exports (% of merchandise exports)","average_value_Agricultural raw materials imports (% of merchandise imports)","average_value_Agriculture, forestry, and fishing, value added (% of GDP)","average_value_Agriculture, forestry, and fishing, value added (current US$)","average_value_Annual freshwater withdrawals, agriculture (% of total freshwater withdrawal)","average_value_Arable land (% of land area)","average_value_Arable land (hectares per person)","average_value_Arable land (hectares)","average_value_Average precipitation in depth (mm per year)","average_value_Cereal production (metric tons)","average_value_Cereal yield (kg per hectare)","average_value_Crop production index (2014-2016 = 100)","average_value_Employment in agriculture (% of total employment) (modeled ILO estimate)","average_value_Employment in agriculture, female (% of female employment) (modeled ILO estimate)","average_value_Employment in agriculture, male (% of male employment) (modeled ILO estimate)","average_value_Fertilizer consumption (% of fertilizer production)","average_value_Fertilizer consumption (kilograms per hectare of arable land)","average_value_Food production index (2014-2016 = 100)","average_value_Forest area (% of land area)","average_value_Forest area (sq. km)","average_value_Land area (sq. km)","average_value_Land under cereal production (hectares)","average_value_Livestock production index (2014-2016 = 100)","average_value_Permanent cropland (% of land area)","average_value_Rural land area (sq. km)","average_value_Rural land area where elevation is below 5 meters (% of total land area)","average_value_Rural land area where elevation is below 5 meters (sq. km)","average_value_Rural population","average_value_Rural population (% of total population)","average_value_Rural population growth (annual %)","average_value_Rural population living in areas where elevation is below 5 meters (% of total population)","average_value_Surface area (sq. km)"
"Albania","ALB","2016","100","14.3014301430143","43.1277372262774","11817","","","","2100","","1110","2.40499817264758","0.980008799038133","19.8499758692673","2354445496.10327","","22.6386861313869","0.215673928001833","620300","","698430","4716.4","104.26","40.0400009155273","45.2299995422363","36.2900009155273","","126.138481379977","103.11","28.8021897810219","7891.8","27400","148084","101.41","3.03649635036496","","","","1195854","41.579","-2.50593818481915","","28750"
"Arab World","ARB","1992","54.7229438513037","","31.7412816651181","3566269.8","404817","96.1536304307218","29.5307897320802","84210","81.4970221981592","60210","0.19712680858368","","10.6606673597863","37227817807.7766","","3.65557671975379","0.194395322801193","","","36787009","1598.68367291313","5.53285286003331","35.1949335616381","47.6858724478964","32.2434098701557","39.0714654300309","66.1201075141831","7.54008137704477","1.77334073787857","199242.474999237","13716784.271","23010988","10.7318313393814","0.50971031597491","","","","114664124","49.221288774077","1.85598813232986","","11291008.9"
"Arab World","ARB","1971","","","28.2982854893853","3179440","136421","35.2005282734084","29.4260798742871","67608.8126170331","80.0210681113659","43390.0759636261","","","","7396667277.3561","","3.30810040469225","0.323598294300173","","","20032849","1180.14751690015","4.08079686413104","","","","116.750664618699","","4.16972502029456","","","13716804.271","16974851","5.3562377566737","0.338196706901225","","","","75735623","60.5087616864081","1.58171904094395","","11290988.9"
"Armenia","ARM","2014","99.7955454624151","9.1985482239543","59.0340709518792","16807","","","","780","","880","0.32086813747136","1.51421178108097","18.0720363470662","2098075398.18975","","15.7182999648753","0.153653186046025","447500","","574673","3181.6","100.4","34.8300018310547","40.5699996948242","29.9400005340576","","118.688491620112","98.31","11.5815946610467","3297.28","28470","180626","94.97","2.01264488935722","","","","1074327","36.888","0.650891971699706","","29740"
"Azerbaijan","AZE","2008","99.5821908631078","30.0523472155065","57.5683493289119","47567","21592","116.073540479518","9.375","3810","81.4589665653495","2680","0.0427264155327892","0.877630457905957","5.57089184098542","2721518987.34177","","22.5132220702676","0.212269210580368","1860200","","2419911","2741.5","92.26","39.5900001525879","40.6800003051758","38.560001373291","","20.9375335985378","82.68","12.3862623597613","10234.397","82627","882711","72.23","2.75333728684328","","","","4119674","47.01","1.67530016265748","","86600"
"Burkina Faso","BFA","1975","","","31.1988304093567","85360","85","0.339185953711093","64.1259494170607","2750.42609644715","87.782222356925","1975.294704","18.6086142700668","1.6662954865378","28.8661589240903","271334014.424703","","9.1593567251462","0.407178164331648","2506000","","1254319","558.1","25.74","","","","","0.478850758180367","24.44","","","273600","2247300","22.1","0.109649122807018","","","","5763924","93.653","1.74470002113896","","274220"
"Bangladesh","BGD","2020","","","","","","","","","","","","","12.6451498926492","41000529912.6328","","","","","","","","","","","","","","","14.4687716063609","18834","130170","","","","","","","101815917","61.823","-0.238219996657073","",""
"Bulgaria","BGR","2014","100","","45.8456153279293","49770","","","","1900","","3250","1.45325864317598","1.11062657325885","4.52273418723253","2573525980.19265","","32.1112748710391","0.482562281126998","3486000","","9530421","4860.7","100.66","7.01000022888184","4.55999994277954","9.18000030517578","114.932737979278","108.803212851406","100.27","35.1308032424466","38138","108560","1960700","100.12","1.16985998526161","","","","1903435","26.349","-1.84302232322154","","111000"
"Bahamas, The","BHS","1987","","","1.1988011988012","120","104","130","3.5859555838566","4.47093356239657","13.1758536877924","6.46991204","0.271800125045174","0.587927327074797","1.82756086321153","49600000","","0.799200799200799","0.0328859474235916","8000","1292","750","1363.6","49.22","","","","","62.5","49.8","","","10010","550","51.07","0.1998001998002","","","","53501","21.993","-1.19652877642824","","13880"
"Belarus","BLR","1974","","","","","","","84.3267456360245","11814.5986973352","58.8134468886988","10913.630228","","","","","","","","","","","","","","","","","","","","","202840","","","","","","","4714698","50.6","-1.99130476682949","","207600"
