"Data Source","World Development Indicators",

"Last Updated Date","2021-09-15",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020",
"Aruba","ABW","Net migration","SM.POP.NETM","","","-4323","","","","","-4275","","","","","-3537","","","","","-5470","","","","","-1921","","","","","-5194","","","","","14218","","","","","6926","","","","","6263","","","","","-441","","","","","1253","","","","","1004","","","",
"Aruba","ABW","Vulnerable employment, total (% of total employment) (modeled ILO estimate)","SL.EMP.VULN.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Aruba","ABW","Poverty headcount ratio at $1.90 a day (2011 PPP) (% of population)","SI.POV.DDAY","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Aruba","ABW","Income share held by lowest 20%","SI.DST.FRST.20","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Aruba","ABW","Incidence of tuberculosis (per 100,000 people)","SH.TBS.INCD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7.8","8.3","8.8","9.3","9.7","10","10","11","11","11","6.8","9","31","12","2.2","10","15","8.7","5.4","2.2","",
"Aruba","ABW","Prevalence of stunting, height for age (% of children under 5)","SH.STA.STNT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Aruba","ABW","Maternal mortality ratio (modeled estimate, per 100,000 live births)","SH.STA.MMRT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Aruba","ABW","Pregnant women receiving prenatal care (%)","SH.STA.ANVC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Aruba","ABW","Mortality rate, under-5 (per 1,000 live births)","SH.DYN.MORT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Aruba","ABW","Prevalence of HIV, total (% of population ages 15-49)","SH.DYN.AIDS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Aruba","ABW","Primary completion rate, total (% of relevant age group)","SE.PRM.CMPT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","101.619117736816","97.1428604125977","94.4040679931641","94.755241394043","90.2159194946289","90.5598983764648","88.1979675292969","93.1861190795898","95.5882415771484","95.1330337524414","96.2425765991211","94.7861022949219","","","96.5706405639648","101.180557250977","","","","","","",
"Aruba","ABW","School enrollment, primary and secondary (gross), gender parity index (GPI)","SE.ENR.PRSC.FM.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.01191997528076","0.992659986019135","0.999490022659302","0.989000022411346","0.97706001996994","0.952910006046295","0.963389992713928","0.967980027198792","0.986760020256042","1.00560998916626","1.00443994998932","1.01460003852844","1.00871002674103","1.02155995368958","","","","","","","","",
"Aruba","ABW","Net ODA received (% of central government expense)","DT.ODA.ODAT.XP.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Aruba","ABW","Net ODA received per capita (current US$)","DT.ODA.ODAT.PC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","191.038333997414","645.382716979421","338.141593314986","315.856708729488","398.636801790934","482.365805480697","386.394926161808","439.3317635146","342.920209812423","238.054888584601","321.199133970675","234.70455452579","293.387942595953","129.010085115511","-82.9129651433104","","","","","","","","","","","","","","","","","","","","","",
"Aruba","ABW","Net ODA received (% of imports of goods, services and primary income)","DT.ODA.ODAT.MP.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","14.7212572307292","6.26425100031258","4.12337015032169","4.65832707919927","4.06054775882287","1.58402022790887","1.84115686625049","1.42859806390348","0.982635372927833","1.26314922005247","0.753989026832642","0.911673393611428","0.533310412237674","-0.441605943867394","","","","","","","","","","","","","","","","","","","","","",
