"Data Source","World Development Indicators",

"Last Updated Date","2021-09-15",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020",
"Aruba","ABW","Population ages 15-64 (% of total population)","SP.POP.1564.TO.ZS","53.6699193890539","54.0567841552726","54.383281458426","54.7102919128671","55.1199326693786","55.6311018131102","56.0755436195097","56.7031263457067","57.4144486692015","58.0867077614685","58.6797148807206","59.5524899057874","60.2489973262032","60.8900619159072","61.6392413428496","62.5665628039633","63.0789291255405","63.850511877547","64.8253830923581","65.81027009003","66.6350505857295","67.185100797464","67.578449751406","67.8043761354319","67.9451269972627","68.1544124646971","67.7558904284528","67.567480148141","67.6140735768431","67.7497050727487","67.7967465285041","68.5231035870137","69.0217630248406","69.2982456140351","69.4719687092568","69.6678452268313","69.4507211538461","69.3262805584487","69.2794206950285","69.2612774563227","69.2404213399668","69.3233438825378","69.4216355061479","69.5548202892277","69.7347498911249","69.9353200507843","69.8573893726323","69.6903835134655","69.4459243473628","69.1597259868907","68.8380922405059","68.8856006114889","68.9869344773791","69.1088513847556","69.1811050937614","69.1597742018957","69.1376153787474","68.9463394263804","68.6466058859653","68.3211994657336","68.012288556282",
"Aruba","ABW","Population ages 0-14 (% of total population)","SP.POP.0014.TO.ZS","43.8471896847503","43.3583462606876","42.9257447754558","42.4887556221889","41.9501332585215","41.2900976290098","40.6895954257992","39.9000947377487","39.0110642962354","38.1347273779927","37.3160862130268","36.0868102288022","35.0150401069519","33.9890111714224","32.869085381972","31.5775590616087","30.8784207572707","29.9075638604512","28.7340066219656","27.5425141713905","26.5142438764643","25.8292469496591","25.3142065368001","25.001205768396","24.7851550066841","24.5279725827436","24.862716301641","24.9769540536607","24.8530591529003","24.6411718442784","24.5474585270881","24.0846770449692","23.804499157324","23.6855897605649","23.5984354628423","23.4201483989841","23.5625","23.5831061075938","23.4907249332585","23.3481265097466","23.1792015673671","22.9186850093651","22.6229577227556","22.2775389880124","21.8823743885271","21.4733432635883","21.2239919074915","21.0803975420363","21.0057420233233","20.9491892957469","20.8736192939834","20.530937028399","20.0926287051482","19.5930553805291","19.1117235531058","18.7030984943598","18.2574948508658","17.9801833608564","17.8024469743493","17.6204450966006","17.3819380701722",
"Aruba","ABW","Unemployment, total (% of total labor force) (modeled ILO estimate)","SL.UEM.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Aruba","ABW","Unemployment, male (% of male labor force) (modeled ILO estimate)","SL.UEM.TOTL.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Aruba","ABW","Unemployment, female (% of female labor force) (modeled ILO estimate)","SL.UEM.TOTL.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Aruba","ABW","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Aruba","ABW","Labor force, female (% of total labor force)","SL.TLF.TOTL.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Aruba","ABW","Probability of dying among youth ages 20-24 years (per 1,000)","SH.DYN.2024","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Aruba","ABW","Probability of dying among adolescents ages 15-19 years (per 1,000)","SH.DYN.1519","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Aruba","ABW","Probability of dying among adolescents ages 10-14 years (per 1,000)","SH.DYN.1014","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Aruba","ABW","Probability of dying among children ages 5-9 years (per 1,000)","SH.DYN.0509","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Aruba","ABW","Number of deaths ages 20-24 years","SH.DTH.2024","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Aruba","ABW","Number of deaths ages 15-19 years","SH.DTH.1519","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Aruba","ABW","Number of deaths ages 10-14 years","SH.DTH.1014","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Aruba","ABW","Number of deaths ages 5-9 years","SH.DTH.0509","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Aruba","ABW","Government expenditure on education, total (% of GDP)","SE.XPD.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.76390981674194","4.39554023742676","4.71468019485474","4.73986005783081","4.92364978790283","","4.40848016738892","4.68132019042969","","4.81504011154175","4.9992299079895","5.9247899055481","6.92926979064941","6.11913013458252","6.54905986785889","6.50538015365601","5.90521001815796","5.97570991516113","5.52414989471436","","","","",
"Aruba","ABW","Government expenditure on education, total (% of government expenditure)","SE.XPD.TOTL.GB.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","22.082389831543","19.2789192199707","21.8227596282959","21.3203907012939","19.7571506500244","","14.8978595733643","18.9007091522217","","20.7887992858887","19.0361995697021","21.537260055542","22.1436595916748","21.7454605102539","20.6340808868408","21.8745899200439","19.612720489502","22.8549900054932","21.3665504455566","","","","",
"Aruba","ABW","Expenditure on tertiary education (% of government expenditure on education)","SE.XPD.TERT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10.10195","11.63897","10.58496","12.16233","11.84006","","10.97108","11.48529","","","","","","","20.72298","21.67269","20.02153","25.09833","18.39152","","","","",
"Aruba","ABW","Government expenditure per student, tertiary (% of GDP per capita)","SE.XPD.TERT.PC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","31.49001","28.73253","32.89536","34.78445","","28.02521","25.53799","","","","","","","53.10581","128.88226","103.68273","145.57715","100.24176","","","","",
"Aruba","ABW","Expenditure on secondary education (% of government expenditure on education)","SE.XPD.SECO.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","24.99765","29.22213","27.69825","29.55082","28.01178","","28.42047","26.76837","","","","","","","31.29913","31.47156","34.43069","30.67691","33.24558","","","","",
