"Country Name","Country Code","Year","average_value_Adolescents out of school (% of lower secondary school age)","average_value_Adolescents out of school, female (% of female lower secondary school age)","average_value_Adolescents out of school, male (% of male lower secondary school age)","average_value_Current education expenditure, primary (% of total expenditure in primary public institutions)","average_value_Current education expenditure, secondary (% of total expenditure in secondary public institutions)","average_value_Current education expenditure, tertiary (% of total expenditure in tertiary public institutions)","average_value_Current education expenditure, total (% of total expenditure in public institutions)","average_value_Educational attainment, Doctoral or equivalent, population 25+, female (%) (cumulative)","average_value_Educational attainment, Doctoral or equivalent, population 25+, male (%) (cumulative)","average_value_Educational attainment, Doctoral or equivalent, population 25+, total (%) (cumulative)","average_value_Educational attainment, at least Bachelor's or equivalent, population 25+, female (%) (cumulative)","average_value_Educational attainment, at least Bachelor's or equivalent, population 25+, male (%) (cumulative)","average_value_Educational attainment, at least Bachelor's or equivalent, population 25+, total (%) (cumulative)","average_value_Educational attainment, at least completed short-cycle tertiary, population 25+, female (%) (cumulative)","average_value_Educational attainment, at least completed short-cycle tertiary, population 25+, male (%) (cumulative)","average_value_Educational attainment, at least completed short-cycle tertiary, population 25+, total (%) (cumulative)","average_value_Expenditure on primary education (% of government expenditure on education)","average_value_Expenditure on secondary education (% of government expenditure on education)","average_value_Expenditure on tertiary education (% of government expenditure on education)","average_value_Government expenditure on education, total (% of GDP)","average_value_Government expenditure on education, total (% of government expenditure)","average_value_Government expenditure per student, primary (% of GDP per capita)","average_value_Government expenditure per student, secondary (% of GDP per capita)","average_value_Government expenditure per student, tertiary (% of GDP per capita)","average_value_Population ages 0-14 (% of total population)","average_value_Population ages 15-64 (% of total population)","average_value_Progression to secondary school (%)","average_value_Progression to secondary school, female (%)","average_value_Progression to secondary school, male (%)","average_value_Pupil-teacher ratio, secondary","average_value_Pupil-teacher ratio, tertiary","average_value_School enrollment, secondary (% gross)","average_value_School enrollment, secondary (% net)","average_value_School enrollment, secondary, female (% gross)","average_value_School enrollment, secondary, female (% net)","average_value_School enrollment, secondary, male (% gross)","average_value_School enrollment, secondary, male (% net)","average_value_School enrollment, secondary, private (% of total secondary)","average_value_School enrollment, tertiary (% gross)","average_value_School enrollment, tertiary, female (% gross)","average_value_School enrollment, tertiary, male (% gross)","average_value_Secondary education, teachers","average_value_Secondary education, teachers (% female)","average_value_Secondary education, teachers, female","average_value_Secondary education, vocational pupils","average_value_Secondary education, vocational pupils (% female)","average_value_Tertiary education, academic staff (% female)","average_value_Trained teachers in secondary education (% of total teachers)","average_value_Trained teachers in secondary education, female (% of female teachers)","average_value_Trained teachers in secondary education, male (% of male teachers)"
"Afghanistan","AFG","1998","","","","","","","","","","","","","","","","","","","","","","","","","48.5548085104874","49.1036649792922","","","","","","","","","","","","","","","","","","","","","","","",""
"Afghanistan","AFG","2008","","","","","","","","","","","","","","","","","","","","","","","","","48.2271513349048","49.4856807572365","","","","","","38.1939811706543","","22.5338096618652","","52.9583702087402","","","","","","","","","9716","7.99712","","","",""
"Africa Western and Central","AFW","1982","","","","","","","","","","","","","","","","","","","","","","","","","45.1242024774021","51.8669752028091","","","","","","","","","","","","","","","","","","","","","","","",""
"Africa Western and Central","AFW","2008","","","","90.0578308105468","92.8594207763672","92.6493301391602","88.8016586303711","","","","","","","","","","43.547835","25.91333","17.6369","2.74129009246826","18.0316905975342","11.64562","","121.43175","44.2925729828219","52.8789471410777","","","","","","","","","","","","","","","","","","","","","","","",""
"Australia","AUS","1975","","","","","","","","","","","","","","","","","","","","","","","","","27.5335054345774","63.6807928506251","","","","","13.79207","","","","","","","","23.2816009521484","19.1736507415771","27.2795791625977","74041","46.5458297729492","34463","","","","","",""
"Austria","AUT","1983","","","","","","","","","","","","","","","","","15.14402","51.45033","15.67647","5.30378007888794","","","","","18.9718091379019","66.5232427501301","","","","12.52444","10.30641","92.1024169921875","","87.423942565918","","96.5869369506836","","","22.9878101348877","20.5027294158936","25.3877296447754","71312","50.8413696289063","36256","344305","42.97033","","","",""
"Burundi","BDI","2011","","","","95.9956817626953","95.2341995239258","96.7126922607422","95.6113433837891","","","","","","","","","","49.70045","27.35601","17.45981","6.31925010681152","14.9792995452881","14.45543","40.64224","345.65739","45.172567530429","52.6896526011435","69.33454","66.33929","72.30065","29.38317","15.72018","26.1224994659424","16.88675","22.1474609375","15.45501","30.1165599822998","18.32535","9.25175952911377","","","","12968","20.3577995300293","2640","18930","39.06498","","72.3781585693359","53.0303001403809","77.3237762451172"
"Bangladesh","BGD","2004","","","","","","","","","","","","","","","","","39.98727","48.47068","11.54205","1.94014000892639","15.9531202316284","","12.24151","36.7488","34.9082674114762","60.8780583466836","","","","27.37356","16.68625","48.351978302002","45.27481","48.9772186279297","45.94321","47.7525482177734","44.634","95.6867828369141","5.88915014266968","3.78947997093201","7.90936994552612","378276","18.0889091491699","68426","167764","27.0964","15.3969602584839","","",""
"Botswana","BWA","1962","","","","","","","","","","","","","","","","","","","","","","","","","44.938504480906","50.886444256918","","","","","","","","","","","","","","","","","","","","","","","",""
"Central African Republic","CAF","2015","","","","","","","","","","","","","","","","","","","","","","","","","45.204810857368","51.9641811905626","","","","","","","","","","","","","","","","","","","","","","","",""
"Chile","CHL","1980","","","","","","","","","","","","","","","","","41.16325","17.13588","35.8439","4.21999979019165","","","","","33.4867717491401","61.6072301150644","","","","","","64.2106399536133","","66.7997207641602","","61.6540298461914","","","12.3678102493286","10.6949796676636","14.0350799560547","","","","169129","47.29053","","","",""
"Cote d'Ivoire","CIV","1990","","","","","","","","","","","","","","","","","","","","","","","","","45.1092870811162","52.2281194179194","50.99581","","","","","","","","","","","","","","","","","","","","","","",""
"Congo, Rep.","COG","1960","","","","","","","","","","","","","","","","","","","","","","","","","41.7760615485542","54.7568236970576","","","","","","","","","","","","","","","","","","","","","","","",""
"Curacao","CUW","1961","","","","","","","","","","","","","","","","","","","","","","","","","41.3684587701943","53.8230849522504","","","","","","","","","","","","","","","","","","","","","","","",""
"Djibouti","DJI","2011","","","","","","","","","","","","","","","","","","","","","","","","","32.0553279120601","64.0135461546211","86.7967","80.59006","92.59797","27.89546","19.20408","40.8605918884277","","39.4064712524414","","42.0782814025879","","10.0009803771973","5.34532022476196","4.56801986694336","6.02586984634399","1827","21.0180606842041","384","1866","40.8896","","100","100","100"
"Denmark","DNK","1988","","","","","","","","","","","","","","","","","48.75708","23.86615","23.32637","6.33533000946045","12.4099397659302","","","","17.3935629517256","67.1060730616517","","","","","","107.68920135498","84.6473","108.125801086426","85.65958","107.273208618164","83.68279","","30.5911502838135","31.7625694274902","29.4857997894287","","","","156807","44.39598","","","",""
"Ecuador","ECU","1969","","","","","","","","","","","","","","","","","","","","","","","","","44.5015212793368","51.2170998005722","","","","","","","","","","","","","","","","","","","","","","","",""
"Fragile and conflict affected situations","FCS","1972","","","","","","","","","","","","","","","","","","","","","","","","","44.0270751175756","52.8290196269542","71.20288","73.96177","69.75073","21.34212","","15.66713","","11.33012","","19.9843","","","2.85851001739502","2.01729989051819","3.70331001281738","250057.1","33.23362","83103.02","252950.2","26.06786","24.39968","","",""
"Fragile and conflict affected situations","FCS","2019","32.6809883117676","34.9053001403809","30.5230197906494","","","","","","","","","","","","","","","","","","","","","","40.5615121589129","55.9618848706186","","","","","","","","","","","","","","","","","","","","","","","",""
"Fiji","FJI","1965","","","","","","","","","","","","","","","","","","","","","","","","","46.9189685495551","50.9198910269674","","","","","","","","","","","","","","","","","","","","","","","",""
"France","FRA","1992","","","","","","","","","","","","","","","","","18.99745","46.11662","15.84919","4.73539018630981","9.56818008422852","","","","19.785003338658","65.6639371022345","","","","12.49112","","104.522071838379","88.46125","106.948707580566","90.54048","102.197563171387","86.46954","","42.792121887207","46.6693496704102","39.0222091674805","449511","57.5296287536621","258602","1325008","45.33671","","","",""
"Equatorial Guinea","GNQ","1991","","","","","","","","","","","","","","","","","","","","","","","","","42.9524573007464","52.8585917158943","","","","","9.96552","","","","","","","","1.6046199798584","0.404480010271072","2.80977010726929","","","","","","12.0689697265625","","",""
"Heavily indebted poor countries (HIPC)","HPC","1993","58.953670501709","67.3019332885742","50.6976585388184","","","","","","","","","","","","","","","","","","","","","","45.8350325758528","51.1248944771146","58.41248","57.55787","59.06287","22.1962","","18.46143","14.79945","14.79063","12.62898","22.09987","16.95485","","2.62326002120972","1.87923002243042","3.36865997314453","444807.6","26.71507","118830.7","1267534","38.76283","20.51702","","",""
"Croatia","HRV","2018","0.874080002307892","","","","","","","","","","","","","","","","","","","","","","","","14.5119400058464","65.0426269817306","","","","","","100.079772949219","","102.458480834961","","97.8241729736328","","2.28900003433228","67.6542282104492","79.0544204711914","56.7811813354492","52322","70.1999206542969","36730","","","48.8120384216309","","",""
