"Country Name","Country Code","Year","average_value_Adjusted net savings, excluding particulate emission damage (% of GNI)","average_value_Adjusted net savings, excluding particulate emission damage (current US$)","average_value_Adjusted savings: carbon dioxide damage (% of GNI)","average_value_Adjusted savings: carbon dioxide damage (current US$)","average_value_Adjusted savings: consumption of fixed capital (% of GNI)","average_value_Adjusted savings: consumption of fixed capital (current US$)","average_value_Adjusted savings: education expenditure (% of GNI)","average_value_Adjusted savings: education expenditure (current US$)","average_value_Adjusted savings: energy depletion (% of GNI)","average_value_Adjusted savings: energy depletion (current US$)","average_value_Adjusted savings: gross savings (% of GNI)","average_value_Adjusted savings: mineral depletion (% of GNI)","average_value_Adjusted savings: mineral depletion (current US$)","average_value_Adjusted savings: net forest depletion (% of GNI)","average_value_Adjusted savings: net forest depletion (current US$)","average_value_Adjusted savings: net national savings (% of GNI)","average_value_Adjusted savings: net national savings (current US$)","average_value_Agricultural methane emissions (% of total)","average_value_Agricultural nitrous oxide emissions (% of total)","average_value_Agricultural nitrous oxide emissions (thousand metric tons of CO2 equivalent)","average_value_Aquaculture production (metric tons)","average_value_Bird species, threatened","average_value_Capture fisheries production (metric tons)","average_value_Coal rents (% of GDP)","average_value_Energy related methane emissions (% of total)","average_value_Fish species, threatened","average_value_Forest rents (% of GDP)","average_value_Mammal species, threatened","average_value_Marine protected areas (% of territorial waters)","average_value_Methane emissions (% change from 1990)","average_value_Methane emissions (kt of CO2 equivalent)","average_value_Methane emissions in energy sector (thousand metric tons of CO2 equivalent)","average_value_Mineral rents (% of GDP)","average_value_Natural gas rents (% of GDP)","average_value_Nitrous oxide emissions (% change from 1990)","average_value_Nitrous oxide emissions (thousand metric tons of CO2 equivalent)","average_value_Nitrous oxide emissions in energy sector (% of total)","average_value_Nitrous oxide emissions in energy sector (thousand metric tons of CO2 equivalent)","average_value_Oil rents (% of GDP)","average_value_People practicing open defecation (% of population)","average_value_People using at least basic drinking water services (% of population)","average_value_People using at least basic sanitation services (% of population)","average_value_Plant species (higher), threatened","average_value_Population living in areas where elevation is below 5 meters (% of total population)","average_value_Rural population living in areas where elevation is below 5 meters (% of total population)","average_value_Terrestrial and marine protected areas (% of total territorial area)","average_value_Terrestrial protected areas (% of total land area)","average_value_Total fisheries production (metric tons)","average_value_Total natural resources rents (% of GDP)","average_value_Urban population living in areas where elevation is below 5 meters (% of total population)"
"Africa Eastern and Southern","AFE","1987","3.31125223642459","","2.39829179610682","","12.9712997619665","","4.50748961474696","","1.34309551765634","","17.9198891068891","1.32235372170713","","1.08108568777473","","4.94858934492263","","58.1407593555567","68.5729261775668","183257.024636355","4012","","2873441","1.26103937136401","16.0440545831591","","2.53403612259706","","","","376226.647","60362.0086010693","2.40944526176674","0.0008932913316511","","267243.990962","2.15637695990232","5762.787847828","0.827376349514995","","","","","","","","","2877453","7.03279039657446",""
"Albania","ALB","2019","-2.04803323329908","-308791103.788707","1.32825069733025","200266280.970466","17.3648290869158","2618172719.88961","3.30333022302158","498057828.926093","0.826981739960932","124687724.858979","14.20811298","0.0118297008861424","1783616.7571548","0.0275852107338432","4159145.23858881","-3.1567161074095","-475952164.889611","","","","","","","0.0243771283513862","","","0.166485480141387","","","","","","0.0253243204495948","0.0219985321692291","","","","","1.35354642713977","0","94.75822287","99.18306692","","","","","","","1.59173188825137",""
"Albania","ALB","1977","","","","27273987.0699146","","","2.8","","","70677019.4249762","","","6867636.57880239","","14299231.1426983","","","54.9900653402907","75.232947252754","757.713067","164","","8336","","38.3639873481563","","","","","","2002.1","768.085390697438","","","","1007.1559","3.71352760481272","37.40101237","","","","","","","","","","8500","",""
"Armenia","ARM","2020","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.010683577","99.97118069","93.93674174","","","","","","","",""
"Azerbaijan","AZE","2013","22.1046048194399","15481340145.1514","1.63771248455365","1147000104.29675","4.76450424023234","3336902485.63884","2.47335230527717","1732254824.25795","18.5796325445826","13012565189.2064","44.6524709","0.0393691109957491","27572833.964505","0","0","39.8879666542947","27936223448.3612","","","2870","325","","796","0","","","0.0096925344257408","","","","47740","40700","0.0579827506327571","3.2050772233514","","3520","","70","23.7127986706928","0.177024732","89.84894863","92.44169837","","","","","","1121","26.9855511791027",""
"Azerbaijan","AZE","2015","12.6742006110786","6469754072.88067","2.56071135367453","1307157210.01181","6.96583826384404","3555826664.06112","3.00192224651869","1532380564.01827","9.33683393587657","4766140385.34673","28.59121925","0.0555573324013734","28360153.7179378","0","0","21.6253809865124","11039031257.9389","","","3340","561","","594","0","","","0.0144864262404858","","","","45430","38140","0.0731851344259889","2.41298510074134","","4010","","80","12.0679391061669","0.088274497","92.42031398","96.11961748","","","","","","1155","14.5685957675747",""
"Burkina Faso","BFA","1993","","","0.37929677908987","8793637.17912916","7.54628361244519","174953450.166072","2.7173555","62999317.872007","0","0","","0","0","2.64963903752755","61429375.7188844","","","87.3533246414602","95","4940","0","","7000","0","9.77835723598435","","7.6874316079629","","","6.799794422892","7670","750","0","0","3.11997403095625","5200","2.69230769230769","140","0","","","","","","","","","7000","7.6874316079629",""
"Bulgaria","BGR","1989","13.4605633767897","2874054623.71242","4.64164459823949","991068482.482908","14.5172645153809","3099677928.4908","4","854066666.68","0.100640347037736","21488391.4320095","29.68516639","0.973119540513367","207777240.561856","0","0","15.1759678625803","3240322071.5092","36.0304214371564","60.011498691301","6041.507602","11615","","91351","0.0697164576755621","9.33774819778413","","0.421437392807918","","","","15762.4","1471.85322192753","2.1536208199058","0.0006615826426247","","10067.25","4.95915837370285","499.2508713766","0.0840875645178923","","","","","","","","","102966","2.7295238175498",""
"Belarus","BLR","1963","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Brunei Darussalam","BRN","1984","","","","16898159.550967","","283432389.207285","2.2949761","","","775218981.806581","","","0","","0","","","0.956252828268579","14.6696733108282","70.58964647","","","3425","0","86.4315628794198","","0.148129687311034","","","","3454.88","2986.1067796085","0","2.56985331961065","","481.1944","0.97399755192496","4.686821676","28.4971753094847","","","","","","","","","3425","31.2151583164064",""
"Central African Republic","CAF","1992","0.130750447664554","1825835.58281472","0.207592943728751","2898885.55007956","11.9067240673463","166268803.39784","2.3","32117839.101","0","0","9.949593493","0.0045260321266996","63202.7702657801","0","0","-1.95713057648","-27329915.1978399","53.2338308457711","41.3076533198175","8150","338","","13000","0","44.6517412935323","","6.8710901455911","","","-13.2109588003635","16080","7180","0.0329789907749485","0","-13.1010499565305","19730","58.590978205778","11560","0","","","","","","","","","13338","6.90406913636605",""
"Central African Republic","CAF","1966","","","","","","","","","","","","","","","","","","","","","","","4000","","","","","","","","","","","","","","","","","","","","","","","","","4000","",""
"Chile","CHL","1960","","","","","","","","","","","","","","","","","","","","","80","","348826","","","","","","","","","","","","","","","","","","","","","","","","","348906","",""
"China","CHN","2014","26.7455490691324","2805340641861.3","3.30190511538934","346336827553.188","17.872970914693","1874695919242.15","1.79","187753100000","1.18555521304368","124352886296.151","47.55544345","0.239363381134676","25106825047.2161","0","0","29.6823727787001","3113384080757.86","","","353890","57320504","","16363366","0.794104008433704","","","0.142252392871121","","","","1206210","723020","0.358821541111182","0.119906955939214","","528020","","47100","0.899303001957935","0.758538313","91.1813536","82.74794313","","","","","","73683872","2.31438790031315",""
"Cyprus","CYP","1974","","","","7012534.3590459","","","3.9864865","","","0","","","9864318.1123715","","0","","","60.3101787543303","83.8292685754028","163.65905113","41","","1180","","2.83168197758452","","","","","","344.135","9.74480877356049","","","","195.22901","2.96759409372613","5.79360457","","","","","","","","","","1221","",""
"Dominica","DMA","1962","","","","","","","","","","","","","","","","","","","","","","","600","","","","","","","","","","","","","","","","","","","","","","","","","600","",""
