"Country Name","Country Code","Year","average_value_Current account balance (BoP, current US$)","average_value_Debt service (PPG and IMF only, % of exports of goods, services and primary income)","average_value_Debt service on external debt, public and publicly guaranteed (PPG) (TDS, current US$)","average_value_Debt service on external debt, total (TDS, current US$)","average_value_Exports of goods, services and primary income (BoP, current US$)","average_value_External debt stocks (% of GNI)","average_value_External debt stocks, long-term (DOD, current US$)","average_value_External debt stocks, private nonguaranteed (PNG) (DOD, current US$)","average_value_External debt stocks, public and publicly guaranteed (PPG) (DOD, current US$)","average_value_External debt stocks, short-term (DOD, current US$)","average_value_Foreign direct investment, net inflows (BoP, current US$)","average_value_GNI (current US$)","average_value_Grants, excluding technical cooperation (BoP, current US$)","average_value_IBRD loans and IDA credits (DOD, current US$)","average_value_IFC, private nonguaranteed (NFL, current US$)","average_value_IMF repurchases and charges (TDS, current US$)","average_value_Imports of goods, services and primary income (BoP, current US$)","average_value_Multilateral debt service (% of public and publicly guaranteed debt service)","average_value_Multilateral debt service (TDS, current US$)","average_value_Net ODA received (% of GNI)","average_value_Net ODA received per capita (current US$)","average_value_Net financial flows, IDA (NFL, current US$)","average_value_Net financial flows, IMF concessional (NFL, current US$)","average_value_Net financial flows, IMF nonconcessional (NFL, current US$)","average_value_Net financial flows, RDB concessional (NFL, current US$)","average_value_Net financial flows, bilateral (NFL, current US$)","average_value_Net financial flows, multilateral (NFL, current US$)","average_value_Net financial flows, others (NFL, current US$)","average_value_Net flows on external debt, private nonguaranteed (PNG) (NFL, current US$)","average_value_Net official development assistance received (current US$)","average_value_PNG, commercial banks and other creditors (NFL, current US$)","average_value_PPG, IDA (DOD, current US$)","average_value_PPG, official creditors (NFL, current US$)","average_value_Personal remittances, received (current US$)","average_value_Portfolio equity, net inflows (BoP, current US$)","average_value_Present value of external debt (% of GNI)","average_value_Present value of external debt (% of exports of goods, services and primary income)","average_value_Present value of external debt (current US$)","average_value_Public and publicly guaranteed debt service (% of GNI)","average_value_Public and publicly guaranteed debt service (% of exports of goods, services and primary income)","average_value_Short-term debt (% of exports of goods, services and primary income)","average_value_Short-term debt (% of total external debt)","average_value_Short-term debt (% of total reserves)","average_value_Technical cooperation grants (BoP, current US$)","average_value_Total debt service (% of GNI)","average_value_Total debt service (% of exports of goods, services and primary income)","average_value_Total reserves (% of total external debt)","average_value_Total reserves (includes gold, current US$)","average_value_Total reserves in months of imports","average_value_Use of IMF credit (DOD, current US$)"
"Afghanistan","AFG","1990","","","","","","","","","","","10","","81680000","","","","","","","","9.88695829654147","","","","","","","","","122720001.220703","","","","","","","","","","","","","","52490000","","","","637925667.368511","",""
"Afghanistan","AFG","1994","","","","","","","","","","","20000","","173660000","","","","","","","","13.2597566656569","","","","","","","","","226419998.168945","","","","","","","","","","","","","","52820000","","","","","",""
"Africa Western and Central","AFW","1969","","","","","","","","","","","","16345335136.1422","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Africa Western and Central","AFW","1989","","19.8398876068532","","","23430418303.3899","","","","","","2569136447.96858","96714866195.6781","","","","","26348967076.2844","","","6.0822810609849","29.5033999489144","","","","","","","","","5882469989.77661","","","","637025980.609591","570518.072075741","","","","4.08239609788238","17.5183265834712","19.062081066468","","114.141476603397","","5.8266289777368","","","","3.19041808710065",""
"Angola","AGO","1973","","","","","","","","","","","7540000","","80000","","","","","","","","0.024625677598424","","","","","","","","","159999.996423721","","","","","","","","","","","","","","80000","","","","","",""
"Antigua and Barbuda","ATG","1989","-81648148.1481482","","","","292140740.740741","","","","","","43107407.4074074","393313307.037037","2970000","","","","385596296.296296","","","1.10344605049918","69.9921001272097","","","","","","","","","4340000.15258789","","","","13196296.69","0","","","","","","","","","1420000","","","","28070000","0.873556108384321",""
"Belgium","BEL","2008","-4300219760.99251","","","","521519326271.802","","","","","","190391844688.586","527755090083.492","","","","","517467211019.406","","","","","","","","","","","","","","","","","10479068216.8072","8794547010.74505","","","","","","","","","","","","","15680647981.365","0.363632268420817",""
"Belize","BLZ","2012","-33113119.8533949","9.28168483824913","93708991","154688151.7","1039521955.13461","85.2898615954944","1158205364.5","173467000","984738364.5","6138014.7","194201408.788436","1402697506.07849","21510000","11280000","0","2776160.7","1148414699.64504","26.0076677167509","24371523","1.86854250263464","77.5441465690122","","","-2693109.2","","-2206428.7","7801000","107625","-45007000","26209999.0844727","-45007000","","5594196.3","75945646.6882625","","","","","6.68062719110277","9.01462355240637","0.59046513348582","0.513","2.12443354227287","5360000","11.0279052347117","14.880700781348","24.1503020984721","288924768.784865","3.01902895050892","32017509.4"
"Bermuda","BMU","1978","","","","","","","","","","","","","0","","","","","","","","2.98507456014405","","","","","","","","","159999.996423721","","","","","","","","","","","","","","160000","","","","","",""
"Botswana","BWA","1972","","","1637472.8","1637472.8","","45.2383538004942","74756512","","74756512","","","164459109.730849","2670000","18941000","0","","","40.611361605518","665000","19.098972321337","47.0846772389762","857000","","","","31673344.3","13348000","","","31409999.8474121","","6450000","45021344.3","","","","","","0.995671691692763","","","0","","4430000","0.995671691692763","","","","",""
