"Data Source","World Development Indicators",

"Last Updated Date","2021-09-15",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020",
"Aruba","ABW","ICT goods exports (% of total goods exports)","TX.VAL.ICTG.ZS.UN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.5097531455","0.4044306018","0.4195834698","0.7137911937","0.4125332385","0.9336203664","0.5428718449","1.035023875","1.1893992511","1.3291910938","1.2959276516","",
"Aruba","ABW","ICT goods imports (% total goods imports)","TM.VAL.ICTG.ZS.UN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.8390706383","4.7649451407","4.6279075031","4.4207856036","5.2686588352","5.2439412345","5.7349223834","4.917246034","4.8296657527","5.2021822657","4.1607791485","",
"Aruba","ABW","Individuals using the Internet (% of population)","IT.NET.USER.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","0","0","0","2.768382663","","","4.506179098","15.44282295","17.1","18.8","20.8","23","25.4","28","30.9","52","58","62","69","74","78.9","83.78","88.66122693","93.54245387","97.17","","","",
"Aruba","ABW","Secure Internet servers (per 1 million people)","IT.NET.SECR.P6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","88.5260414105149","127.388535031847","253.497781894408","426.501235884263","568.532223250077","757.147375382168","1172.93663281362","977.591328859825","1152.61795438656","1401.56147116922","1582.90092351498",
"Aruba","ABW","Secure Internet servers","IT.NET.SECR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9","13","26","44","59","79","123","103","122","149","169",
"Aruba","ABW","Fixed broadband subscriptions (per 100 people)","IT.NET.BBND.P2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.442015317","7.052067614","12.27019624","13.83759446","15.8028887","18.14952939","18.53038293","18.90153341","","","18.61204548","18.50174417","18.20952454","","","","","",
"Aruba","ABW","Fixed broadband subscriptions","IT.NET.BBND","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1399","6963","12274","13953","15996","18396","18800","19217","","","19200","19200","19000","","","","","",
"Aruba","ABW","Fixed telephone subscriptions (per 100 people)","IT.MLT.MAIN.P2","","","","","","","","","","","","","","","","","","","","","","","14.67112234","16.07691195","17.50588834","19.03976137","20.83998468","22.45888118","25.73388562","28.62268974","30.10828815","29.40175173","29.89668059","28.96391923","28.03129074","33.98735123","40.35576923","38.87608103","40.17553307","41.07297343","41.93587443","39.97072058","39.08960755","38.53963738","38.48911755","38.24714339","38.33131682","38.14289384","37.94569743","36.17367306","34.46478278","","35.10140406","33.92820791","33.72713782","33.54386099","","","","","",
"Aruba","ABW","Fixed telephone subscriptions","IT.MLT.MAIN","","","","","","","","","","","","","","","","","","","","","","","9000","10000","11000","12000","13055","13887","15718","17469","18712","19000","20400","21000","21500","27300","33576","33220","35064","36557","38100","37132","37132","37390","38003","38259","38651","38609","38461","36700","35040","","36000","35000","35000","35000","","","","","",
"Aruba","ABW","Mobile cellular subscriptions (per 100 people)","IT.CEL.SETS.P2","0","","","","","0","","","","","0","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.029310471","","","2.138837707","3.605769231","3.981229008","6.16428154","13.48238863","16.51018679","57.05182028","65.05811016","72.10282734","99.64754854","103.3849507","108.1282107","112.2147359","119.1874346","126.1643093","129.636369","","131.6302652","134.5495788","134.6194615","135.13384","","","","","",
"Aruba","ABW","Mobile cellular subscriptions","IT.CEL.SETS","0","","","","","0","","","","","0","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","20","","","1718","3000","3402","5380","12000","15000","53000","61800","69952","98389","103417","109030","113586","120806","128000","131800","","135000","138800","139700","141000","","","","","",
"Aruba","ABW","Container port traffic (TEU: 20 foot equivalent units)","IS.SHP.GOOD.TU","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","135000","140000","125000","49558","169719","167948","191838","29628","30000","62645","46322.5","54483.75","50403.13","",
"Aruba","ABW","Liner shipping connectivity index (maximum value in 2004 = 100)","IS.SHP.GCNW.XQ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7.37","7.52","8.1339623541","7.2765527717","7.4457483207","6.2875655719","8.4072868128","8.8147055735","8.5460367412","8.2941671816","8.150910811","8.1163383886","8.6746538321","6.9564914492","8.8359475606","9.5145923515","",
"Aruba","ABW","Rail lines (total route-km)","IS.RRS.TOTL.KM","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Aruba","ABW","Railways, passengers carried (million passenger-km)","IS.RRS.PASG.KM","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Aruba","ABW","Railways, goods transported (million ton-km)","IS.RRS.GOOD.MT.K6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Aruba","ABW","Air transport, passengers carried","IS.AIR.PSGR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","223502","274280","","",
"Aruba","ABW","Air transport, freight (million ton-km)","IS.AIR.GOOD.MT.K1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Aruba","ABW","Air transport, registered carrier departures worldwide","IS.AIR.DPRT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2132","2276","","",
"Aruba","ABW","Trademark applications, resident, by count","IP.TMK.RSCT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Aruba","ABW","Trademark applications, nonresident, by count","IP.TMK.NRCT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
