"Country Name","Country Code","Year","average_value_Air transport, freight (million ton-km)","average_value_Air transport, passengers carried","average_value_Air transport, registered carrier departures worldwide","average_value_Annual freshwater withdrawals, agriculture (% of total freshwater withdrawal)","average_value_Annual freshwater withdrawals, domestic (% of total freshwater withdrawal)","average_value_Annual freshwater withdrawals, industry (% of total freshwater withdrawal)","average_value_Annual freshwater withdrawals, total (% of internal resources)","average_value_Annual freshwater withdrawals, total (billion cubic meters)","average_value_Container port traffic (TEU: 20 foot equivalent units)","average_value_Electric power consumption (kWh per capita)","average_value_Electric power transmission and distribution losses (% of output)","average_value_Electricity production from coal sources (% of total)","average_value_Electricity production from hydroelectric sources (% of total)","average_value_Electricity production from natural gas sources (% of total)","average_value_Electricity production from nuclear sources (% of total)","average_value_Electricity production from oil sources (% of total)","average_value_Fixed broadband subscriptions","average_value_Fixed broadband subscriptions (per 100 people)","average_value_Fixed telephone subscriptions","average_value_Fixed telephone subscriptions (per 100 people)","average_value_ICT goods exports (% of total goods exports)","average_value_ICT goods imports (% total goods imports)","average_value_ICT service exports (% of service exports, BoP)","average_value_ICT service exports (BoP, current US$)","average_value_Individuals using the Internet (% of population)","average_value_Industrial design applications, nonresident, by count","average_value_Industrial design applications, resident, by count","average_value_Investment in ICT with private participation (current US$)","average_value_Investment in energy with private participation (current US$)","average_value_Investment in transport with private participation (current US$)","average_value_Investment in water and sanitation with private participation (current US$)","average_value_Liner shipping connectivity index (maximum value in 2004 = 100)","average_value_Mobile cellular subscriptions","average_value_Mobile cellular subscriptions (per 100 people)","average_value_Public private partnerships investment in ICT (current US$)","average_value_Public private partnerships investment in energy (current US$)","average_value_Public private partnerships investment in transport (current US$)","average_value_Public private partnerships investment in water and sanitation (current US$)","average_value_Rail lines (total route-km)","average_value_Railways, goods transported (million ton-km)","average_value_Railways, passengers carried (million passenger-km)","average_value_Renewable internal freshwater resources per capita (cubic meters)","average_value_Renewable internal freshwater resources, total (billion cubic meters)","average_value_Secure Internet servers","average_value_Secure Internet servers (per 1 million people)","average_value_Trademark applications, nonresident, by count","average_value_Trademark applications, resident, by count"
"Africa Eastern and Southern","AFE","1987","694.2000133099","9837400","203000","95.0315846832682","3.50159564441778","1.29576320433839","","","","797.312091691949","5.94991191097433","75.6276932002784","11.005660761464","0","3.12990131039652","0.95617546112973","","","3568338","1.28796376516015","","","","","","","","","","","","","0","0","","","","","","","","8719.41820022031","1830.521","","","",""
"Albania","ALB","2019","0","307741","2558","","","","","","18479.35","","","","","","","","436192","15.1407347","242859","8.429920057","","","","","68.55039112","","","","","","","3.5837128647","2630076","91.29301538","","","","","","42.94","","","","2190","767.292728482432","6956","1439"
"Albania","ALB","1977","","","","","","","","","","1067.81415577833","4.90434782608696","0","76.5217391304348","0","0","23.4782608695652","","","23800","0.944937537","","","","","","","","","","","","","0","0","","","","","","","","10702.0122170034","26.9","","","",""
"Armenia","ARM","2020","","","","","","","","","","","","","","","","","430407","14.52486347","427539","14.42807762","","","","","","","","","50200000","","","","3488797","117.7357712","","50200000","","","","","","","","1741","587.533755349729","",""
"Azerbaijan","AZE","2013","17.9216","1651710","15886","","","","","","","2092.53652062946","14.0489851845508","0","6.37578145071508","92.9648026034084","0","0.0770745910764751","1712177","18.24285161","1757855","18.72954018","0.0383623476","2.4131966196","2.75630894112526","113861000","73.00000137","925","54","","","","","","10130102","107.9339038","","","","","2068.1","7958","609","","","158","16.7785217081682","10503","3556"
"Azerbaijan","AZE","2015","686.94149","1803112","23781","","","","","","","","","0","6.63075178224238","86.0823071937783","","6.50923525599482","1899456","19.73923241","1796027","18.66439358","0.0192398987","2.8406966785","1.95351650522751","86814000","77","1160","11","","","","","","10697132","111.1650782","","","","","2067.8","6210","495","","","321","33.2665204805178","9305","2801"
"Burkina Faso","BFA","1993","14.3000001907","128500","3000","","","","","","","","","","","","","","","","21873","0.228977283","","","","","0","","","","","","","","0","0","","","","","","","","","","","","",""
"Bulgaria","BGR","1989","7.6999998093","1997700","35900","","","","","","","4963.17888577321","10.5102869518138","38.2624977440895","6.07065511640498","18.6789388197076","32.8595921313842","4.12831618841364","","","1994000","22.41068124","","","","","","","","","","","","","0","0","","","","","","","","","","","","",""
"Belarus","BLR","1963","","","","","","","","","","","","","","","","","","","75000","0.92309","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Brunei Darussalam","BRN","1984","4.5999999046","184400","3500","","","","","","","3290.9210912291","4.26666666666667","0","0","99.4666666666667","0","0.533333333333333","","","19000","8.708605477","","","","","","","","","","","","","0","0","","","","","","","","","","","","",""
