"Country Name","Country Code","Year","average_value_Agricultural raw materials exports (% of merchandise exports)","average_value_Commercial service exports (current US$)","average_value_Commercial service imports (current US$)","average_value_Computer, communications and other services (% of commercial service exports)","average_value_Computer, communications and other services (% of commercial service imports)","average_value_Export unit value index (2000 = 100)","average_value_Export value index (2000 = 100)","average_value_Export volume index (2000 = 100)","average_value_Food exports (% of merchandise exports)","average_value_Fuel exports (% of merchandise exports)","average_value_High-technology exports (% of manufactured exports)","average_value_High-technology exports (current US$)","average_value_ICT goods exports (% of total goods exports)","average_value_ICT goods imports (% total goods imports)","average_value_Import value index (2000 = 100)","average_value_Insurance and financial services (% of commercial service exports)","average_value_Insurance and financial services (% of commercial service imports)","average_value_Manufactures exports (% of merchandise exports)","average_value_Manufactures imports (% of merchandise imports)","average_value_Merchandise exports (current US$)","average_value_Merchandise exports by the reporting economy (current US$)","average_value_Merchandise exports by the reporting economy, residual (% of total merchandise exports)","average_value_Merchandise exports to economies in the Arab World (% of total merchandise exports)","average_value_Merchandise exports to high-income economies (% of total merchandise exports)","average_value_Merchandise exports to low- and middle-income economies in East Asia & Pacific (% of total merchandise exports)","average_value_Merchandise exports to low- and middle-income economies in Europe & Central Asia (% of total merchandise exports)","average_value_Merchandise exports to low- and middle-income economies in Latin America & the Caribbean (% of total merchandise exports)","average_value_Merchandise exports to low- and middle-income economies in Middle East & North Africa (% of total merchandise exports)","average_value_Merchandise exports to low- and middle-income economies in South Asia (% of total merchandise exports)","average_value_Merchandise exports to low- and middle-income economies in Sub-Saharan Africa (% of total merchandise exports)","average_value_Merchandise exports to low- and middle-income economies outside region (% of total merchandise exports)","average_value_Merchandise imports (current US$)","average_value_Merchandise imports by the reporting economy (current US$)","average_value_Merchandise imports by the reporting economy, residual (% of total merchandise imports)","average_value_Merchandise imports from economies in the Arab World (% of total merchandise imports)","average_value_Merchandise imports from high-income economies (% of total merchandise imports)","average_value_Merchandise imports from low- and middle-income economies in East Asia & Pacific (% of total merchandise imports)","average_value_Merchandise imports from low- and middle-income economies in Europe & Central Asia (% of total merchandise imports)","average_value_Merchandise imports from low- and middle-income economies in Latin America & the Caribbean (% of total merchandise imports)","average_value_Merchandise imports from low- and middle-income economies in Middle East & North Africa (% of total merchandise imports)","average_value_Merchandise imports from low- and middle-income economies in South Asia (% of total merchandise imports)","average_value_Merchandise imports from low- and middle-income economies in Sub-Saharan Africa (% of total merchandise imports)","average_value_Merchandise imports from low- and middle-income economies outside region (% of total merchandise imports)","average_value_Net barter terms of trade index (2000 = 100)","average_value_Ores and metals exports (% of merchandise exports)","average_value_Ores and metals imports (% of merchandise imports)","average_value_Transport services (% of commercial service exports)","average_value_Transport services (% of commercial service imports)","average_value_Travel services (% of commercial service exports)","average_value_Travel services (% of commercial service imports)"
"Africa Eastern and Southern","AFE","1987","","4576709153.74869","7222349129.90647","34.3434549148235","23.9397218480494","","","","","","","","","","","8.7891655276764","8.59767715905914","","","36490239209.8232","21856767262.312","10.3616825787687","1.81759220392678","78.6352736207502","1.2712412498422","1.12393461398946","1.25690355807229","0.657580860898025","1.01252139061193","5.68086212706715","5.35770385245723","32864611049.964","12660005236.4","9.64017629278966","6.88923710265844","71.5512617761735","3.57283286083109","0.309489618708006","2.1835991924575","0.583951343300603","2.22438862983848","9.93430028590116","9.78572256355797","","","","","46.2603008982101","","21.837799408128"
"Albania","ALB","2019","","3742722415.37203","2301320299.21131","29.9953973251891","9.85571335720667","143.1128695","1038.611726","725.7290904","","","","1753203","","","540.5527953","0.509182656851581","2.37476456963842","","","2716000000","2985007867","0.0010196958050429","0.6614022769676","78.0997703481094","2.25034026685867","19.1691385582536","0.0596713000220713","0.27088675676177","0.0922759377102841","0.0568971364791381","2.73007139783193","5897000000","6483079415","0.0214707997680686","2.39606700853594","65.2176702049546","10.3944229256368","19.9507503796327","1.51705178518163","1.8529155099051","0.978172577267434","0.0675458176536929","14.8101086156447","93.39711539","","","7.27872854850885","10.871750287847","62.2166914694504","76.8977717853079"
"Armenia","ARM","2020","","1076458374.41389","947328719.486079","46.3002102736885","15.5144266110253","","","","","","","28653375","","","","4.49711540129732","8.76658779035013","","","2544000000","","","","","","","","","","","","4559000000","","","","","","","","","","","","","","","22.2728870390702","43.4719654314559","26.929787285944","32.2470201671686"
"Azerbaijan","AZE","2013","0.0877829575965187","4106388000","8175659000","22.0652310497693","50.7239599890357","339.1461198","1821.269112","537.0160545","3.6492913291811","92.9958093639825","13.7761420319272","73400927","0.0383623476","2.4131966196","880.5966724","0.475235170178756","2.07292158344667","2.22895546126434","71.8650583598064","31703000000","23975416800","0.0047319302494879","3.52022034503275","59.4974636687025","20.1418813290453","11.1530044391137","0.0016062285932814","3.76271665066528","5.4379621880025","0.0006335656279394","29.3447999619343","10321000000","10712502500","0.0260872751254901","1.25588022033134","47.734432734088","6.09688165767056","38.9636669863088","3.8161466006659","2.01780489666163","0.639310935983445","0.70566891349617","13.2758130044777","204.7015126","0.487873494135214","1.39027062151071","19.8653171595085","12.018052612028","57.5942166205434","35.1850658154896"
"Azerbaijan","AZE","2015","0.104834264794213","4423067000","8553411000","13.0014535163044","55.9076723894128","181.5077509","950.8481375","523.8609","6.0566620985011","88.461645963087","4.46466879062333","15948624","0.0192398987","2.8406966785","786.4078498","0.457465374139709","1.85523646648103","2.82468946336173","73.8840969683828","16592000000","12729138400","0.0069439106734828","3.91342669351446","66.1157356887564","6.32798131882987","19.6428919336756","0.0029703502948794","4.13207228542664","3.76318793108574","0.0082165812573772","14.2344284668945","9217000000","9216676900","0.0101717789412798","0.984075941731233","52.8002864025753","8.39163191236529","34.9193536338461","2.1542645158799","1.0978490522978","0.578628290636943","0.0478144134574143","12.2701881846373","119.8082918","0.863908499916453","2.45220952894888","34.3265204890634","11.8040627300617","52.2145606204925","30.4330284140444"
"Burkina Faso","BFA","1993","","","","","","88","33.22349282","37.75396912","","","","","","","83.24091653","","","","","69000000","62524611.37","0.231882909985384","0.706210987602977","49.4018963675727","4.3046381565698","0.170802836611058","0.566671170269762","0.189329070196826","0.0154366452529939","45.1193428435414","5.24687787890044","509000000","430502978.8","6.59916720306828","0.962556150805668","54.0187895174808","8.00333112780396","0.053437880009856","0.896849428399874","0.323643630277106","0.482419153120875","29.6223620598392","9.75968121961167","110","","","","","",""
"Bulgaria","BGR","1989","","1223000000","785000000","28.7816843826656","40.8917197452229","","","","","","","","","","","3.0744071954211","4.47133757961783","","","16220000000","2786684356","39.7112579826831","5.27352926645941","43.3556272232692","5.22645823143427","0.107524328313271","1.23912190052496","7.36939305504179","2.29450522382737","0.696112054906013","16.8255904657344","15180000000","5144660769","27.1329984992153","1.13219899945617","61.1600325243872","1.4572574661068","0.571374893698069","2.97732428584933","4.65556952320795","1.69467731270738","0.350765494827906","11.1355940826994","","","","27.6696647587899","40.2420382165605","40.4742436631235","14.3949044585987"
"Brunei Darussalam","BRN","1984","0.0008524127455692","","","","","","75.55185872","","0.0066592489807912","99.9437254025714","","","","","50.89430894","","","0.0218766307396404","71.5726471867955","3204000000","3182960000","0","","91.086598637746","8.91151632442758","","","","0.0018850378264257","","8.913401362254","626000000","621660000","3.49065405527137","0.0176945597271821","85.8009201171058","10.3239713026413","0.0032171926776695","0.0530836791815462","","0.326545056783451","0.0016085963388347","10.7084258276228","","0.0221180558635155","1.29202338937974","","","",""
"Central African Republic","CAF","1992","","15867510.7732471","151557395.757044","14.2857142857141","12.0301126732476","379","66.59842314","17.57214331","","","","","","","124.2349381","30.4761904761905","8.43802971382989","","","107000000","107105311.3","80.1477788609553","3.64659277984564","11.6221663413745","0.408257348758576","","0.0069375936121293","0.0375760006590822","","7.77728385464036","0.452770943029788","145000000","163250297.5","18.4535037689348","0.370496170056903","66.6342470236209","0.899524109732174","0.0643544468272715","0.387553863699575","0.368512878765198","0.17006734398141","13.0222365644387","1.89001264300563","280.7407407","","","36.1904761904763","45.6924917738558","19.0476190476191","33.8393658390667"
"Central African Republic","CAF","1966","19.9580449252557","","","","","","","","26.2461225636067","0.170004293845778","","","","","","","","53.5860116104237","77.0788587843746","31000000","30900000","1.61812297734628","0.323624595469256","96.7637540453075","","","","0.323624595469256","","1.29449838187702","0.323624595469256","35000000","34800000","4.31034482758621","1.72413793103448","86.7816091954023","0.28735632183908","","2.58620689655172","1.72413793103448","","4.31034482758621","4.59770114942529","","0.0000650385607123","1.17245936906564","","","",""
