"Country Name","Country Code","Year","average_value_Contributing family workers, female (% of female employment) (modeled ILO estimate)","average_value_Contributing family workers, male (% of male employment) (modeled ILO estimate)","average_value_Contributing family workers, total (% of total employment) (modeled ILO estimate)","average_value_Employment in industry (% of total employment) (modeled ILO estimate)","average_value_Employment in industry, female (% of female employment) (modeled ILO estimate)","average_value_Employment in industry, male (% of male employment) (modeled ILO estimate)","average_value_Employment in services (% of total employment) (modeled ILO estimate)","average_value_Employment in services, female (% of female employment) (modeled ILO estimate)","average_value_Employment in services, male (% of male employment) (modeled ILO estimate)","average_value_Employment to population ratio, 15+, female (%) (national estimate)","average_value_Employment to population ratio, 15+, male (%) (national estimate)","average_value_Employment to population ratio, 15+, total (%) (national estimate)","average_value_GDP per person employed (constant 2017 PPP $)","average_value_Labor force participation rate for ages 15-24, female (%) (modeled ILO estimate)","average_value_Labor force participation rate for ages 15-24, female (%) (national estimate)","average_value_Labor force participation rate for ages 15-24, male (%) (modeled ILO estimate)","average_value_Labor force participation rate for ages 15-24, male (%) (national estimate)","average_value_Labor force participation rate for ages 15-24, total (%) (modeled ILO estimate)","average_value_Labor force participation rate for ages 15-24, total (%) (national estimate)","average_value_Labor force participation rate, female (% of female population ages 15+) (modeled ILO estimate)","average_value_Labor force participation rate, female (% of female population ages 15+) (national estimate)","average_value_Labor force participation rate, female (% of female population ages 15-64) (modeled ILO estimate)","average_value_Labor force participation rate, male (% of male population ages 15+) (modeled ILO estimate)","average_value_Labor force participation rate, male (% of male population ages 15+) (national estimate)","average_value_Labor force participation rate, male (% of male population ages 15-64) (modeled ILO estimate)","average_value_Labor force participation rate, total (% of total population ages 15+) (modeled ILO estimate)","average_value_Labor force participation rate, total (% of total population ages 15+) (national estimate)","average_value_Labor force participation rate, total (% of total population ages 15-64) (modeled ILO estimate)","average_value_Labor force, female (% of total labor force)","average_value_Labor force, total","average_value_Ratio of female to male labor force participation rate (%) (modeled ILO estimate)","average_value_Ratio of female to male labor force participation rate (%) (national estimate)","average_value_Share of youth not in education, employment or training, female (% of female youth population)","average_value_Share of youth not in education, employment or training, male (% of male youth population)","average_value_Share of youth not in education, employment or training, total (% of youth population)","average_value_Unemployment, female (% of female labor force) (modeled ILO estimate)","average_value_Unemployment, female (% of female labor force) (national estimate)","average_value_Unemployment, male (% of male labor force) (modeled ILO estimate)","average_value_Unemployment, male (% of male labor force) (national estimate)","average_value_Unemployment, total (% of total labor force) (modeled ILO estimate)","average_value_Unemployment, total (% of total labor force) (national estimate)","average_value_Unemployment, youth female (% of female labor force ages 15-24) (modeled ILO estimate)","average_value_Unemployment, youth female (% of female labor force ages 15-24) (national estimate)","average_value_Unemployment, youth male (% of male labor force ages 15-24) (modeled ILO estimate)","average_value_Unemployment, youth male (% of male labor force ages 15-24) (national estimate)","average_value_Unemployment, youth total (% of total labor force ages 15-24) (modeled ILO estimate)","average_value_Unemployment, youth total (% of total labor force ages 15-24) (national estimate)","average_value_Wage and salaried workers, female (% of female employment) (modeled ILO estimate)","average_value_Wage and salaried workers, male (% of male employment) (modeled ILO estimate)","average_value_Wage and salaried workers, total (% of total employment) (modeled ILO estimate)"
"Albania","ALB","2019","29.4400005340576","16.7600002288818","22.0300006866455","20.1499996185303","16.3099994659424","22.8799991607666","43.4300003051758","42.060001373291","44.4099998474121","46.89","60.06","53.39","30989.2463440705","30.36","30","42.57","43.21","36.72","36.59","52.47","52.87","61.46","68.02","67.93","77.43","60.32","60.31","69.61","43.0442820386066","1422089","77.1390767421347","77.8301192403945","25.4500007629395","26.2000007629395","25.8199996948242","11.31","11.32","11.58","11.58","11.47","11.47","25.85","25.85","27.74","27.76","26.99","26.98","47.8699989318848","44.2099990844727","45.7299995422363"
"Armenia","ARM","2020","","","","","","","","","","","","","39785.6117609351","","","","","","","","","","","","","50.11","","","","1175542","","","","","","","","","","20.21","","","","","","","","","",""
"Azerbaijan","AZE","2013","41.7999992370605","28.2199993133545","34.7900009155273","14.3800001144409","6.01000022888184","22.2299995422363","48.5200004577637","50.4500007629395","46.7099990844727","57.8","65.3","61.4","30873.5608303188","33.58","","34.52","","34.06","","61.32","61.4","66.66","67.96","68","72.01","64.54","64.7","69.29","48.8953196462828","4702401","90.2295467922307","90.2941176470588","","","","5.95","5.95","4.04","4.04","4.97","4.97","15.8","","11.55","","13.6","","29.1599998474121","37.5499992370605","33.4900016784668"
"Azerbaijan","AZE","2015","42.5099983215332","25.2000007629395","33.6100006103516","14.0600004196167","5.88000011444092","21.7800006866455","49.5800018310547","52.060001373291","47.2400016784668","","","","30928.6169203529","36.25","","38.4","","37.36","","62.52","62.4","67.9","68.68","68.5","72.78","65.52","65.4","70.3","49.0192479448248","4876105","91.0308677926616","91.0948905109489","","","","5.87","5.87","4.09","4.09","4.96","4.96","15.59","15.78","11.29","11.39","13.31","13.42","27.4699993133545","36.8300018310547","32.2900009155273"
"Burkina Faso","BFA","1993","73.6500015258789","32.9900016784668","52.4700012207031","3.25","4.05000019073486","2.51999998092651","7.32999992370605","8.59000015258789","6.17000007629395","","","","2520.16908577382","72.25","","83.03","","77.68","","74.65","","77.27","90.35","","91.19","82.07","","83.9","47.9618793005958","4129515","82.62313226342","","","","","2.71","","2.43","","2.56","","3.54","","2.99","","3.24","","2.22000002861023","6.15999984741211","4.28000020980835"
"Central African Republic","CAF","1992","49.810001373291","50.9799995422363","50.439998626709","9.11999988555908","6.78000020980835","11.1099996566772","15.0600004196167","12.3000001907349","17.4200000762939","","","","2705.74132712108","52.28","","57.38","","54.81","","65.21","","66.84","81.05","","81.16","72.9","","73.84","46.0447102147776","1212743","80.4565083281925","","","","","4.57","","4.16","","4.35","","7.46","","7.16","","7.31","","6.34000015258789","8.76000022888184","7.65000009536743"
"Chile","CHL","1960","","","","","","","","","","","","","","","27.6","","75.06","","50.63","","22.74","","","85.09","","","52.78","","","","","26.7246444940651","","","","","","","","","","","","","","","","","",""
"China","CHN","2014","19.5400009155273","7.21999979019165","12.6800003051758","29.8999996185303","26.8600006103516","32.3199996948242","40.5999984741211","47.2400016784668","35.3199996948242","","","68.47","21704.4765831774","47.7","","52.95","","50.47","","62.9","","69.24","77.45","","83.09","70.3","70.63","76.35","43.9577737000049","785158444","81.213686249193","","","","","3.99","","5.08","","4.6","4.1","9.44","","11.56","","10.61","","51.5900001525879","52.6399993896484","52.1699981689453"
"Cyprus","CYP","1974","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7.4","","","","","","","","","","","","",""
"Dominican Republic","DOM","1970","","","","","","","","","","","","","","","25.18","","67.01","","45.06","","26.76","","","81.8","","","54.03","","","","","32.7139364303179","","","","","","","","","","","","","","","","","",""
